scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S3_strong_campaign,S3,fcgnn,97,5,0.75
S3_strong_campaign,S3,local_ids,97,5,1.0
S3_strong_campaign,S3,descriptor_clustering,97,5,1.0
S3_strong_campaign,S3,standard_gnn,97,5,1.0
S3_strong_campaign,S3,fcgnn,97,5,1.0
S3_strong_campaign,S3,local_ids,97,10,0.75
S3_strong_campaign,S3,descriptor_clustering,97,10,0.75
S3_strong_campaign,S3,standard_gnn,97,10,0.75
S3_strong_campaign,S3,fcgnn,97,10,0.75
S3_strong_campaign,S3,local_ids,97,10,1.0
S3_strong_campaign,S3,descriptor_clustering,97,10,1.0
S3_strong_campaign,S3,standard_gnn,97,10,1.0
S3_strong_campaign,S3,fcgnn,97,10,1.0
S3_strong_campaign,S3,local_ids,101,2,0.75
S3_strong_campaign,S3,descriptor_clustering,101,2,0.75
S3_strong_campaign,S3,standard_gnn,101,2,0.75
S3_strong_campaign,S3,fcgnn,101,2,0.75
S3_strong_campaign,S3,local_ids,101,2,1.0
S3_strong_campaign,S3,descriptor_clustering,101,2,1.0
S3_strong_campaign,S3,standard_gnn,101,2,1.0
S3_strong_campaign,S3,fcgnn,101,2,1.0
S3_strong_campaign,S3,local_ids,101,5,0.75
S3_strong_campaign,S3,descriptor_clustering,101,5,0.75
S3_strong_campaign,S3,standard_gnn,101,5,0.75
S3_strong_campaign,S3,fcgnn,101,5,0.75
S3_strong_campaign,S3,local_ids,101,5,1.0
S3_strong_campaign,S3,descriptor_clustering,101,5,1.0
S3_strong_campaign,S3,standard_gnn,101,5,1.0
S3_strong_campaign,S3,fcgnn,101,5,1.0
S3_strong_campaign,S3,local_ids,101,10,0.75
S3_strong_campaign,S3,descriptor_clustering,101,10,0.75
S3_strong_campaign,S3,standard_gnn,101,10,0.75
